"Comment","Taxon","Taxon_Path"
"Cnidaria Anthozoa Octocorallia Alcyonacea: Paramuricea","Paramuricea","Biota / Animalia / Cnidaria / Anthozoa / Malacalcyonacea / Paramuriceidae / Paramuricea"
"Porifera Demospongiae:","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Echinodermata  Asteroidea:","Asteroidea","Biota / Animalia / Echinodermata / Asteroidea"
"Cnidaria Anthozoa Hexacorallia Ceriantharia Ceriantharia:","Ceriantharia","Biota / Animalia / Cnidaria / Anthozoa / Ceriantharia"
"Cnidaria Anthozoa Octocorallia Alcyonacea: Stoloniferan:","Stolonifera","Biota / Animalia / Bryozoa / Gymnolaemata / Ctenostomatida / Stolonifera"
"Cnidaria Anthozoa Octocorallia Alcyonacea Scleraxonia  Paragorgiidae:","Coralliidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae"
"Cnidaria Anthozoa Hexacorallia Antipatharia:Stauropathes?","Stauropathes","Biota / Animalia / Cnidaria / Anthozoa / Antipatharia / Schizopathidae / Stauropathes"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Porifera Demospongiae: Polymastia","Polymastia","Biota / Animalia / Porifera / Demospongiae / Polymastiida / Polymastiidae / Polymastia"
"Start EX1806_DIVE01_SPEC01BIO: Demospongiae","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Porifera Demospongiae: Phakellia?","Phakellia","Biota / Animalia / Porifera / Demospongiae / Bubarida / Bubaridae / Phakellia"
"End EX1806_DIVE01_SPEC01BIO: Demospongiae","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Start EX1806_DIVE01_SPEC02BIO: Paragorgia sp","Paragorgia","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae / Paragorgia"
"Porifera Demospongiae: Polymastia","Polymastia","Biota / Animalia / Porifera / Demospongiae / Polymastiida / Polymastiidae / Polymastia"
"Porifera Hexactinellida:","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
"Cnidaria Anthozoa Octocorallia Alcyonacea Calcaxonia Chrysogorgiidae:2","Chrysogorgiidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Chrysogorgiidae"
"Porifera Demospongiae: Polymastia","Polymastia","Biota / Animalia / Porifera / Demospongiae / Polymastiida / Polymastiidae / Polymastia"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea:","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Cnidaria Anthozoa Octocorallia Alcyonacea:Stoloniferan:","Stolonifera","Biota / Animalia / Bryozoa / Gymnolaemata / Ctenostomatida / Stolonifera"
"Cnidaria Anthozoa Octocorallia Alcyonacea Calcaxonia Chrysogorgiidae: dead","Chrysogorgiidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Chrysogorgiidae"
"Cnidaria Anthozoa Hexacorallia Ceriantharia Ceriantharia:","Ceriantharia","Biota / Animalia / Cnidaria / Anthozoa / Ceriantharia"
"Cnidaria Anthozoa Octocorallia Alcyonacea Scleraxonia  Paragorgiidae:","Coralliidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Echinodermata Crinoidea Articulata:","Articulata","Biota / Animalia / Echinodermata / Crinoidea / Articulata"
"Cnidaria Anthozoa Octocorallia Alcyonacea Isididae: Acanella","Acanella","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Keratoisididae / Acanella"
"Cnidaria Anthozoa Octocorallia Alcyonacea Calcaxonia Primnoidae:","Primnoidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Primnoidae"
"Echinodermata  Asteroidea: Brisingid","Brisingida","Biota / Animalia / Echinodermata / Asteroidea / Brisingida"
"Cnidaria Anthozoa Octocorallia Alcyonacea: Anthomastus many","Anthomastus","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae / Anthomastus"
"Chordata Actinopterygi Ophidiiformes Ophidiidae:Luciobrotula?","Luciobrotula","Biota / Animalia / Chordata / Teleostei / Ophidiiformes / Ophidiidae / Luciobrotula"
"Porifera Demospongiae: Phakellia","Phakellia","Biota / Animalia / Porifera / Demospongiae / Bubarida / Bubaridae / Phakellia"
"Porifera Demospongiae: Phakellia?","Phakellia","Biota / Animalia / Porifera / Demospongiae / Bubarida / Bubaridae / Phakellia"
"Cnidaria Anthozoa Octocorallia Alcyonacea Scleraxonia  Paragorgiidae:","Coralliidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Coralliidae"
"Echinodermata  Asteroidea: Brisingid","Brisingida","Biota / Animalia / Echinodermata / Asteroidea / Brisingida"
"Echinodermata  Asteroidea: Tamaria","Tamaria","Biota / Animalia / Echinodermata / Asteroidea / Valvatida / Ophidiasteridae / Tamaria"
"Porifera Hexactinellida: x2","Hexactinellida","Biota / Animalia / Porifera / Hexactinellida"
